,name,address,latitude,longitude
0,Luminor Hôtel de Ville,"20, rue du Temple 75004 Paris 4e arrondissement",48.85869,2.35359
1,Espace Saint-Michel,"7, place Saint-Michel 75005 Paris 5e arrondissement",48.85309,2.34423
2,Studio Galande,"42, rue Galande 75005 Paris 5e arrondissement",48.851620000000004,2.34708
3,Centre Georges-Pompidou,"pl. Georges-Pompidou 75004 Paris 4e arrondissement, Métro Hotel-de-Ville, Rambuteau.",48.86068,2.3519799999999997
4,Saint-André des Arts,"30 rue Saint-André-des-Arts: caisse, salles 1 & 2 - 12 rue Gît-le-Cœur, Salle 3 75006 Paris 6e arrondissement",48.8533,2.34227
5,MK2 Odéon (Côté St Michel),"7, rue Hautefeuille 75006 Paris 6e arrondissement",48.85219,2.34279
6,MK2 Beaubourg,"50, rue Rambuteau 75003 Paris 3e arrondissement",48.86158,2.35229
7,Christine 21,"4, rue Christine 75006 Paris 6e arrondissement",48.854459999999996,2.34013
8,Le Champo - Espace Jacques Tati,"51, rue des Ecoles 75005 Paris 5e arrondissement",48.84998,2.34321
9,Nouvel Odéon,"6, rue de l'Ecole-de-Medecine 75006 Paris 6e arrondissement",48.85076,2.34175
10,Forum des images,"Forum des Halles, 2 rue du Cinéma 75001 Paris 1er arrondissement",48.859140000000004,2.34744
11,UGC Odéon,"124, bd Saint-Germain 75006 Paris 6e arrondissement",48.85235,2.33983
12,Ecoles 21,"23, rue des Ecoles 75005 Paris 5e arrondissement",48.84838,2.34897
13,UGC Ciné Cité Les Halles,"7, place de la Rotonde 75001 Paris 1er arrondissement",48.8631896972656,2.34201002120972
14,Reflet Medicis,3 rue Champollion 75005 Paris 5e arrondissement,48.8498,2.343
15,Filmothèque du Quartier Latin,"9, rue Champollion 75005 Paris 5e arrondissement",48.849509999999995,2.34279
16,UGC Danton,"99, bd Saint-Germain 75006 Paris 6e arrondissement",48.852140000000006,2.339
17,MK2 Odéon (Côté St Germain),"113, bd Saint-Germain 75006 Paris 6e arrondissement",48.85244,2.33827
18,Le Grand Action,"5, rue des Ecoles 75005 Paris 5e arrondissement",48.84754,2.35212
19,Studio Luxembourg Accattone,20 rue Cujas 75005 Paris 5e arrondissement,48.84815,2.34198
20,Les 3 Luxembourg,"67, rue Monsieur-le-Prince 75006 Paris 6e arrondissement",48.84841,2.34077
21,Cinéma du Panthéon,"13, rue Victor-Cousin 75005 Paris 5e arrondissement",48.8475,2.3423
22,MK2 Bastille (côté Beaumarchais),"4, boulevard Beaumarchais 75011 Paris 11e arrondissement",48.85454,2.36905
23,L'Arlequin,76 rue de Rennes 75006 Paris 6e arrondissement,48.851279999999996,2.33065
24,Majestic Bastille,4 boulevard Richard Lenoir 75011 Paris 11e arrondissement,48.85399,2.36995
25,Studio des Ursulines,"10, rue des Ursulines 75005 Paris 5e arrondissement",48.842729999999996,2.3420400000000003
26,MK2 Bastille (côté Fg St Antoine),"5, rue du Faubourg-Saint-Antoine 75011 Paris 11e arrondissement",48.853159999999995,2.37072
27,Epée de Bois,"100, rue Mouffetard 75005 Paris 5e arrondissement, Métro Censier-Daubenton.",48.84132,2.34954
28,L'Archipel - PARIS CINE,17 bd de Strasbourg 75010 Paris 10e arrondissement,48.870459999999994,2.35466
29,Le Grand Rex,"1, bd Poissonniere 75002 Paris 2e arrondissement",48.87055,2.34775
30,Max Linder Panorama,"24, bd Poissonniere 75009 Paris 9e arrondissement",48.871359999999996,2.3448900000000004
31,Le Brady Cinema & Théâtre,"39, bd de Strasbourg 75010 Paris 10e arrondissement",48.871958500000005,2.3554952
32,UGC Lyon Bastille,"12, rue de Lyon 75012 Paris 12e arrondissement",48.8475,2.37186
33,Lucernaire,"53, rue Notre-Dame-des-Champs 75006 Paris 6e arrondissement",48.84424,2.3304099999999996
